objectid,name,unique_code,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
253,West Berkshire,E06000037,Benzene annual mean Limit Value 2020,0.49,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{F9DD1F79-FC35-4982-B7CA-163667A89F30},166802.031523965,704169402.351946
254,West Devon,E07000047,Benzene annual mean Limit Value 2020,0.21,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{4AC75625-49CA-4940-9DAB-2A02924A0ACB},254068.377875136,1161107060.90436
255,West Lancashire,E07000127,Benzene annual mean Limit Value 2020,0.33,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{E65D695E-847D-42F5-806A-5AEFB309C696},227324.791265288,346632973.13886
256,West Lindsey,E07000142,Benzene annual mean Limit Value 2020,0.4,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{B8E275E9-8298-43A8-8F79-352F7749D305},249630.856354362,1155731959.77556
257,West Oxfordshire,E07000181,Benzene annual mean Limit Value 2020,0.41,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{587D3EFC-24F0-4562-A7A3-A96BFD4C6D56},160247.897555111,714422027.138745
258,Wigan,E08000010,Benzene annual mean Limit Value 2020,0.44,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{4B942781-C406-4186-A11A-B8F62B1E3C76},88690.4959013719,188171013.039743
259,Winchester,E07000094,Benzene annual mean Limit Value 2020,0.41,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{53234086-A50B-422A-9749-6AAACBC28BE1},172158.212213579,660970090.904626
260,Windsor and Maidenhead,E06000040,Benzene annual mean Limit Value 2020,0.62,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{0D8B5886-4EE3-410E-B387-EFAD5404DEFA},114829.420890264,198427175.066602
261,Wirral,E08000015,Benzene annual mean Limit Value 2020,0.48,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{BC1A8EF5-51EF-41D2-B840-B98E64D0E0C9},133924.463118424,160922014.258454
262,Woking,E07000217,Benzene annual mean Limit Value 2020,0.54,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{3D4D035E-CA6D-41FB-9A30-870E20498A9E},54781.5015969547,63603603.8397676
263,Wokingham,E06000041,Benzene annual mean Limit Value 2020,0.57,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{8A1CFE41-928D-41C6-B3C6-A29A36B487B4},86865.9015855573,178965481.003988
