Country code,Country name,Region code,Region name,LAD code,LAD name,Google sub region 1,Google sub region 2,Average distance to nearest park or public garden or playing field (m),Median distance to nearest park or public garden or playing field (m),Average size of nearest park or public garden or playing field (m2),Median size of nearest park or public garden or playing field (m2),"Average number of parks or public gardens or playing fields within 1,000 m radius","Median number of parks or public gardens or playing fields within 1,000 m radius","Average combined size of parks or public gardens or playing fields within 1,000 m radius (m2)","Median combined size of parks or public gardens or playing fields within 1,000 m radius (m2)",Population ,Average population per park or public garden or playing field,Median population per park or public garden or playing field,Number of flats within built up area,Number of flats in built up area with gardens,Average garden size for flats in built up area,Number of houses within built up area,Number of houses in built up area with gardens,Average garden size for houses in built up area ,Average percent change in mobility to parks from baseline during lockdown period,Average percent change in mobility to parks from baseline during post-lockdown period
E92000001,England,E12000003,Yorkshire and The Humber,E08000018,Rotherham,South Yorkshire,Rotherham District,321.61,276.59,87631.66,38326.3,3.52,3,268046.32,166707,264671,7851.93,3566.4,14366,10132.55,319.76,102579,100766,226.78,20.67,51.65
E92000001,England,E12000003,Yorkshire and The Humber,E08000019,Sheffield,South Yorkshire,Sheffield District,316.58,274.59,101816.69,31422.94,4.64,4,400060.56,239259,582506,10767.88,7116.09,67721,34802.69,259,187440,184367,201.21,23.09,44.21
E92000001,England,E12000003,Yorkshire and The Humber,E08000032,Bradford,West Yorkshire,Bradford District,308.93,277.71,41612.75,18243,5.23,5,199124.67,152053,537173,8236.52,4391.43,37570,20378.12,250.81,174400,164848,177.56,41.85,73
E92000001,England,E12000003,Yorkshire and The Humber,E08000033,Calderdale,West Yorkshire,Calderdale,321.8,268.48,37222.54,15067.86,4.6,5,158763.69,119735,208485,5011.29,2960.86,16590,8967.42,331.32,70607,65607,200.36,-24.4,1.14
E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,West Yorkshire,Metropolitan Borough of Kirklees,274.04,236.68,40386.54,16009.43,5.89,5,211545.9,123910,436835,4970.15,2154.96,28258,16551.57,299.21,152700,143434,211.34,46.93,76.93
E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,West Yorkshire,Leeds District,340.69,276.81,77611.28,26926.97,5.08,5,334405.74,185298,789194,8104.94,4540.77,83881,44310.74,269.4,264679,252777,204.9,33.69,52.13
E92000001,England,E12000003,Yorkshire and The Humber,E08000036,Wakefield,West Yorkshire,Wakefield District,307.08,259.62,61688.11,26822.27,4.93,4,285850.69,161699,345038,4400.43,2959.83,25609,14853.06,361.96,135431,130767,220.09,14.82,42.47
E92000001,England,E12000004,East Midlands,E06000015,Derby,Derby,,311.15,286.11,97901.92,42021.43,4.31,4,357697.69,221963,257174,9016.13,6199.71,19088,11044.73,199.21,92282,89562,199.31,15.04,43.15
E92000001,England,E12000004,East Midlands,E06000016,Leicester,Leicester,,298.58,283.55,101531.07,30967.77,5.53,6,435517.21,353120,355218,13453.33,10036.99,39255,20699.55,143.37,100539,98923,155.51,20.8,43.23
E92000001,England,E12000004,East Midlands,E06000017,Rutland,Rutland,,608.17,369.2,424859.11,17937,2.18,1,1125992.92,32446,39697,2851.45,2243.94,1426,814.68,606.97,13260,12449,438.02,-60,
E92000001,England,E12000004,East Midlands,E06000018,Nottingham,Nottingham,,285.07,262.91,155420.19,17390.65,6.52,6,556690.02,266248,331069,9292.16,5790.73,40485,18940.21,210.24,99464,97377,170.01,21.12,71.08
E92000001,England,E12000004,East Midlands,E07000032,Amber Valley,Derbyshire,Amber Valley,311.56,241.8,72094.67,13686.8,5.23,5,505101.81,121205,125100,3203.69,1821.26,4516,2989.38,370.64,49456,47664,291.77,22.94,54.12
E92000001,England,E12000004,East Midlands,E07000033,Bolsover,Derbyshire,Bolsover District,303.02,244.23,42800.59,22352.37,3.87,4,186430.07,87044,79530,3179.97,1840.58,2446,1613.39,380.05,32216,31068,254.3,-34.57,18.25
E92000001,England,E12000004,East Midlands,E07000034,Chesterfield,Derbyshire,Chesterfield District,296.29,264.49,75602.72,26371.42,4.49,5,284379.08,170425,104628,5303.42,3438.59,6988,5133.05,281.73,42566,41885,246.7,11.42,54.44
E92000001,England,E12000004,East Midlands,E07000035,Derbyshire Dales,Derbyshire,Derbyshire Dales District,584.85,300.12,27544.58,13562.42,2.58,2,70499.4,29591,70256,2671.83,1426.72,3998,2616.83,523.03,23533,22260,426.91,-40.56,39.73
E92000001,England,E12000004,East Midlands,E07000036,Erewash,Derbyshire,Erewash District,333.06,292.49,115732.22,25611.51,3.47,3,488416.84,96530,115490,6846.58,3447.39,5028,2927.12,240.68,46671,45804,228.23,37.74,54.45
E92000001,England,E12000004,East Midlands,E07000037,High Peak,Derbyshire,High Peak District,338.5,283.28,50768.54,22206.43,4.15,4,165048.02,100625,92221,4908.99,2879.79,6109,4342.44,347.67,33349,32036,265.31,138.71,308
E92000001,England,E12000004,East Midlands,E07000038,North East Derbyshire,Derbyshire,North East Derbyshire District,338.13,253.91,108976.86,19195.12,3.56,4,354286.08,125290,101125,3566.97,1932.21,3276,2259.66,460.43,39036,37530,309.2,28.27,49.56
